IDENTIFIER	GSM1095883	GSM1095886	GSM1095877	GSM1095878	GSM1095879	GSM1095880	GSM1095881	GSM1095882	GSM1095884	GSM1095885	GSM1095876
LINC01122	6.4	3.5	5.3	19.3	5.5	32.2	13.5	7.7	2.2	9.6	4.1
BC041340	65.2	42.8	41.6	49.7	37.6	115.5	32.1	51.5	62	45.4	48.7
CSMD1	3.3	14.6	3.3	0.6	21.1	2.8	6	19.8	1	1.7	4.4
CSMD1	89.9	31.9	77.4	62.9	149.1	85.9	96.7	59.7	61.3	82.6	94.6
BC041966	50.6	5.5	5.5	6.7	11	5.4	9.9	62.8	4.3	7.3	9.8
CASC2	8.5	19	143.9	127.9	120.8	77.2	155.3	106.9	66.3	44.3	84
OR7D2	57.8	586.7	28.8	24	34.7	60.2	40.4	924.7	6.1	102.6	53
MARCH1	28.4	4.6	6.1	34.9	78.4	33.7	40.9	68.4	29.2	48.5	3.8
LOC101927587	19.9	11.2	74.8	127.7	141	294.2	500.9	124.5	85.6	16.1	220.2
AL713717	38	41.3	29.8	151.5	216.7	109.2	8.4	51.8	24.7	30.4	82.8
AL832691	19	37.1	45.6	16.3	43.6	24.5	9	8.1	21.1	11.4	14.5
LINC00664	26.1	74	42.7	148.6	77	5.7	32.5	57.2	37.3	53.7	37.5
TRAPPC2	11	9.9	5.5	5.2	2.5	64.7	8.1	5.3	8.1	2.4	4.8
AL833331	30.6	15.7	78.6	104.3	4.3	23.5	12.8	25.7	25.4	12.2	71.8
LOC101928583	43	65.4	62.6	24	1.8	45.8	44.3	51.7	4.4	3	35.6
LOC101928583	6.7	20	26.3	49.6	53	91.6	72.7	40.5	36	23.8	64.1
BC041766	4.2	17.5	35	14.5	24.1	1.1	9.3	17.7	8.9	2.2	37.3
GVINP1	4.2	23.2	4.2	53	31.4	65.4	2.4	41.8	24.4	1.5	2.3
LOC286177	1.2	20.5	13.9	3.6	4.1	59.9	7.5	20.2	16.9	30.7	46.9
C15orf54	9.6	32.9	11.9	6	66.8	27.7	4.4	21.5	5.1	19.2	2.9
CARD11	8.3	22	135.7	49.7	95.4	53.3	71.8	11.5	58.6	8.3	30.6
VWA3B	6.6	58.1	40.4	12.6	84	73.6	6.7	47.4	19.2	47.5	17.4
SV2C	3.9	36.7	22.4	18.7	35.3	38.8	6.2	52.2	35.9	35.7	50.6
ITPR1	1.9	4	4.7	861.1	39.5	2.7	18	4	6.3	3.6	3.3
PROM2	230	97.2	507.1	160.8	235.8	106.8	280	255.3	213.2	170.1	155.3
BC041838	49.5	10.1	8	23.2	4.9	39.9	2.2	2.8	1.3	5	29.6
HLA-F-AS1	17.8	44.8	4.7	16.4	26.1	5.9	23.9	7	3.8	2.1	20.3
MIR4313	3	42	24.4	17.6	15.6	10.4	85.3	4.1	20.6	5.8	7.1
AF511647	5.9	11.9	36	31.2	59.7	65.7	11.5	5	10.2	34.3	52.2
ZNF501	43.1	29.7	20.3	121.9	79.1	18.1	63.8	11	45.3	47.6	80.7
C5orf42	17	24.7	36.5	20.8	42.9	6.4	6.4	13.5	32.2	23.2	5.9
LOC285819	82.6	11.1	9.3	16.6	117.8	73.9	78.2	34.9	94.6	17	26.6
LOC101927359	20.4	24.1	22.4	43.5	2.9	56.5	34	28.2	31.3	1.9	5
BE675275	8.4	23.6	49.6	37.4	9.7	9.4	37.9	28	3	31.2	17.9
B3GALNT2	65	42.1	425.5	361.7	153.1	151	16.4	66.7	43.1	28.3	286
MRPL23	11.2	17.7	105.9	9.9	51.6	80.5	9.5	9.4	12.5	76.4	90.2
AK091161	5.4	3.8	5.8	1.5	50	5.7	23.7	4.1	27.4	37.6	2.3
1562398_at	30.2	27.4	23.2	31	24.9	3.7	4.3	21.6	3.6	5.5	26
BC041896	6.8	8	18.6	101.3	237.3	167.7	193.9	6.7	6.6	85.6	150.6
LOC283112	2	13.7	4.1	16.1	37.4	3.5	26.5	14.3	1.4	19.9	5.1
SLC8A3	12.3	18.8	12.8	61.4	25.5	8.4	93.4	13.4	9.5	8.1	10.4
BC041402	17.3	17.2	20.5	38.2	3.2	17.7	9	1.7	16.6	15.1	8.9
LOC101926984	104.5	93.3	108	179.6	201.8	166.9	78.9	37.1	93.3	71	115.8
LOC101926984	43	55.5	44.6	143.7	56.9	75.7	22.3	57.3	53.5	13.2	12.2
MYLK3	54	106	136.7	75.4	104.5	135.5	170.3	196	73.5	137.7	96.1
GPR89B	143.3	10.4	101.5	51.4	123.5	103	7.8	104.6	24.7	43.1	175.3
LINC00167	63.3	21.4	23.8	61.9	28.9	45.9	86	37.3	42.7	12.1	76.5
LOC100509814	2.4	4.1	6.5	15.7	2.9	10.2	41.2	17.5	18.8	10	70.4
SPOCD1	69.1	13.1	5.7	63.8	5.1	10.3	3.3	57.6	3.5	38.1	16.5
1562416_at	321.8	219.7	708.3	1498.5	3076.7	1825.4	899.3	220.9	173.7	262.3	1034.3
LOC105372762	7.3	5.4	3.1	11.1	14.7	10.2	19.5	6.7	45.6	20.8	10.6
BC037907	40.2	26.7	5.4	3.4	15.6	4.7	39	62.8	20.7	34.6	46
LOC285889	30.3	3.1	5.5	9.8	5.3	8.4	24	67.1	9.1	2.4	20.1
STK24	4.1	12.3	9.8	11.2	18	8.1	11.5	9.2	8.5	4.9	5.1
STK24	35.1	42.5	49.8	67.7	25.5	168.8	7.3	104.4	82.8	34.9	106.6
LOC654780	124.8	181.3	116	157.5	142	207.7	14.7	41.9	85.2	82	209.3
BC041911	12.2	37	2.3	0.9	3.6	25.6	41.5	31.6	27.5	19.2	23.2
BC040175	42.4	46.7	27.3	10.6	39.4	3.6	64.3	50.4	4.1	19	53.7
LINC01181	55.5	102.5	229.2	48	23.9	33.6	17.8	10.6	108.9	58.6	99.8
UNK	357.8	96.5	280.7	212.6	380	401.4	272.1	172	114.1	101.2	330.5
CARS-AS1	46	16.4	6.1	62.8	4.5	16.2	49.1	14.9	52.6	20.3	9.8
NCOA3	2.6	16.9	3.3	6.3	58.6	4.9	31	12	3.1	5.2	9.8
MAP3K13	50.1	21.8	98.3	100	204.9	282.7	13.2	61.6	33.3	77.7	180.2
SSBP1	316.6	109.3	253.1	77.5	829.9	392.9	1066.3	126.4	158.7	207.2	594.6
CLVS2	102.4	52.9	6.1	5.7	120.7	88.9	16.2	88.9	22.9	52.3	92.5
ZNF391	61.8	55.2	102.3	92.7	153.4	64.2	114.6	82	55	42.4	122.8
PPP1R26-AS1	118.7	49.2	75.5	455.1	362	778.6	304.7	105.4	44.4	98.8	287.4
LARGE-AS1	14.1	10.3	9.8	12.6	24.3	10.1	21.8	25.3	34	31.9	17.7
AL833164	21.8	2.4	2.3	43.5	251.7	59.3	22.2	63.5	16.5	3.9	11.3
AL832684	60.5	72.1	108.8	145.1	278.3	183.8	59.5	78.3	63	51.8	199.3
LOC101929586	35.6	9.6	26.3	64.2	12.8	13.5	12.6	2.3	17.2	22.5	59
AL050029	226.4	81.7	150.9	106.4	337.9	167	122.2	121.5	58.2	82.7	89.4
NCKAP5L	4.5	8.2	14.6	20.4	37.5	7.6	7.4	41.1	6.7	4.3	52
UBE2W	38.9	42.7	41.6	69.7	99.3	33.6	51.1	27.1	36.4	32.8	53.4
BC040654	1.8	40	6.1	37.1	34.3	58.6	29.6	28.7	2.2	44.9	23.4
CNDP2	401.8	275.9	377.1	93.1	424.9	322.5	37.9	282.7	338.2	259.5	396.8
DNAH10	74.8	75.8	9.9	16.1	81.5	49.7	133	91.3	23.4	21.1	11.7
LOC101929260	80.9	73.7	96.4	82.4	40.1	92.8	108.4	92	38.1	85.3	61.5
BC040644	7.1	3.6	5.2	34	5	15.1	11.5	17.7	3.1	16.3	1.7
AK097085	549	7.1	1421.2	1306.9	730.5	669.8	1020.6	389.3	254.8	263	731.1
BC041928	58.9	5.7	36.5	53	77	50.3	90.8	51.2	41	24.2	49.5
CASC15	8	24.4	73.9	9.9	77.5	14.5	77.8	7.5	22.1	11.5	34.3
TCEANC2	1.1	27	10.9	24.7	63.8	36.9	4.9	38	8.3	23.7	7.4
AK091177	135.6	91.9	71.8	127.1	36.9	91.6	233.2	14.1	119	87.5	45.3
BC037943	5.9	5.6	68.1	56.1	255.1	141.8	276.7	5.1	5.1	62.2	46.9
LOC101929147	411.7	370.6	140.4	306.3	162.8	288.3	279.6	215.3	517.2	223.4	111.4
TEX41	66.5	36.5	63.4	62.8	81.1	11.2	30.7	48.1	19.3	23	31.9
AL833420	9	43	19.1	12.5	93.9	144.7	38.9	15.8	59.7	7.8	53.5
EBF2	50.8	37.8	68.6	94	16.8	42.4	101.2	10	6.1	18.6	40.9
LINC00659	6.3	5.5	11.2	6.8	8.8	8.7	8.8	11.3	4.6	27.8	8.7
BC039355	1.8	0.5	0.8	1.3	0.7	6	1.3	2.5	0.5	0.3	17
PCBP1-AS1	133.1	68.6	103.6	173.6	172.1	72.9	283.9	128	6.7	62.1	165.6
BC043238	8.8	8	6.9	49.7	6.4	7.3	9.1	7.9	7	7.1	4.7
MEIOC	3.7	6.7	23.2	8.4	38.9	31.6	2.8	51.3	8.4	1.1	3.8
LOC101927623	179.1	22.8	25.5	5.6	43.1	22.2	42.3	14.1	15.4	41.6	7.5
PIEZO2	36.9	82.8	72.9	35.3	106.2	136.3	153.8	21.1	74.1	139.6	101
THEM5	45.2	10.7	49.2	9.7	29.5	42.9	2	6	12.9	4.2	28.3
LOC101928622	5	1.9	10.9	3.2	2.2	4.4	24.9	14.6	2.1	3.1	23.3
LOC340090	18.5	13.9	2.2	5.3	52.9	4.4	2.8	31.6	4.7	5.9	1.6
ANKFY1	112.6	4.8	59.7	36.5	26.9	105.2	10.5	9.6	6.4	3.9	61.3
LOC339539	79.1	33.3	11.7	24.5	44.1	15.6	5.8	55.3	17.7	10	14
BU680365	312.4	140.8	338.9	554.6	484	868.9	814.8	318.2	170.6	118.1	1106
AI286000	103.9	33.5	52.1	33.1	56.9	55.5	57	38.6	59.9	39	8
LOC255177	4.4	8.1	10	7.2	6.7	5.3	6.7	3.1	9.3	7.3	2.4
BC041907	33.2	2.5	50.8	7.8	34	15	2.4	6.2	21.9	2.6	17.7
BC035700	61.2	43.4	145	76.1	146.5	115.5	51	44.6	75.5	36	99.9
BC043262	5.3	13	2	7.8	5.3	7.9	9.1	7.3	10.8	7.2	3.3
TMEM108-AS1	121.4	69.9	80.2	69.2	13.8	97.6	49.5	58.2	50.1	95.9	61
LINC01343	11.8	13.2	11.5	20.2	10.4	14.9	19.5	13	19.5	16.1	12.4
LYST	23.4	67.3	26.3	45.7	32.4	20.4	60.3	11.1	3.1	14.6	79.2
SMPDL3A	15.1	5.8	6.4	17.5	43.4	2.6	5	27.5	48	4.5	18
BC043219	18	17.4	3.1	24.1	3.7	12.5	3.4	35.2	6.9	21.7	2.5
WDR60	6.2	4.3	67.3	19.9	79.3	79.4	6.4	1.7	7	45.6	83.4
LOC101929473	27.8	3.8	12.3	3.1	63.5	32.8	2.6	13.1	30.7	1.5	7.7
LOC101927641	19.9	7.5	21.7	16.1	8.9	29.8	7.3	7.5	8.6	5.5	3.9
THSD4-AS1	75.1	31.8	72.8	43.2	56.2	76.4	79.2	58.1	6.5	16.9	45.8
LOC441666	1.5	53.3	68.3	4.9	4.7	33.4	58.7	5.4	68.3	5.4	74.3
BC040965	93.2	21.5	23.2	56.5	119.9	139.7	53.6	89.9	15.5	7.9	79.8
BC040965	175.4	57.7	428.7	684.7	1021.2	1078.3	898.3	255.2	201	137	885.8
BC035899	1.9	10.8	62.2	3.6	14.6	154.5	4.9	15.6	11.8	12.3	13.9
FCER1A	27.6	51.8	84.5	7.3	11.4	11	24.9	9.5	61.1	53.9	80.8
LOC339978	25.6	7.9	18.1	10.7	68.1	12.4	4.4	6.3	19.9	5.7	4.5
LOC100505904	11.1	6.4	3.4	17.5	6.1	44.1	20.5	4.3	2.8	7.8	20.4
LOC101927660	5.2	33.3	39.6	8.6	46.4	2.3	8.2	8.7	10.6	11.6	12.7
AL117560	147.6	42.4	353.2	638.1	1307.3	2623.7	632.8	290.6	217.4	38.8	714.7
LOC101930657	213.6	152.9	113.7	110.3	373.9	296.8	20.7	52.6	25.6	117.4	299.9
LINC01271	32.3	47.9	61.3	58.9	46.9	53.5	14.6	30.6	23.2	70.8	12.4
AK097868	7	50.9	31.9	95.4	157.4	204.9	35.3	26.3	22.3	7.5	25
BC042964	10.5	15.1	4.8	22	2.4	4.9	5.9	0.7	1.2	2.3	2
LOC101928144	73.9	56.5	81.1	111.4	32.4	9	62.8	103.9	105.9	91	23.8
LOC440704	17.8	3.8	7	5.8	28.3	40.5	4.5	22.4	8.4	9.7	4.2
CARD19	7.4	5.4	12.7	10.1	8.1	7.8	6	71	12.9	3.9	6.8
ANKUB1	105.7	19.8	114.9	16.3	6.4	85	6.7	41.3	39.5	31.9	43.7
HCN1	73.1	84.6	26.6	33.2	73.3	48.7	144.2	82.5	87.3	95.1	31.7
TRAF3IP2-AS1	9.2	1.3	45.1	46.4	12	46.4	36.5	1	20.3	1.1	5.8
LOC400541	28.5	3.5	5.9	6.9	4.8	5.5	23.8	2.3	13.6	2.6	12.7
BC016627	64.3	64.7	38.9	135.8	74.7	55.9	145.2	50.2	13.6	40.8	87.1
CYP17A1	7.7	8.5	4.9	4.6	3.2	2.2	15.7	3.9	20.2	3.7	0.9
BC040998	78.5	11.2	25.6	76.6	67.8	76.4	50.9	70.1	8.9	73.6	66
BC025331	102.4	245.5	190.8	129.2	143.3	147.8	56.6	116.7	157.8	120.5	178.9
BC036616	40.5	27.5	1.8	6.3	10.4	10.7	28.4	18.1	2.4	48.8	6.7
LOC254028	12.9	13.2	17.5	21.1	10.7	23.3	13	40.4	10.7	82.8	70.8
AL390167	23	7.2	4.1	3.8	3.8	22.1	75.3	40.4	6.1	6.2	4.8
AL390167	88.6	16	37.4	97.5	97.5	19.2	502.4	259.8	50.6	39.7	171.5
LOC284263	37.5	14.3	4.8	1.2	5.1	2.4	6.8	20	1.3	5.9	11.5
BC037164	6.3	19.6	37	15.4	29.9	22.7	25	17.5	13.2	19.7	13
CLNK	49.6	2	12.2	46.3	3.2	21.9	4.3	33	2.3	45.3	14.3
AK022163	81.2	9.7	60.8	6.4	79.9	12.1	107.9	5.2	18.2	16.1	3.1
LOC101928460	58.5	47.7	85.1	58.9	51.9	44.7	11.7	13.4	10.1	8.3	5.9
PRTG	101.9	43.5	83.1	15.8	60.4	141.7	22.9	12.9	42.6	13.9	55.4
OFCC1	54.1	51.7	44.5	1.7	65.6	92.6	34.3	19.6	19.5	14.4	59.7
LOC101928314	52	27.5	15.2	30	1.6	1.8	60.3	11.8	11.8	18.4	21.3
LINC00437	50.2	1.4	1.7	40	2.5	13.7	4.6	1.8	3.6	25.3	11.2
LOC101929505	90.8	19.2	9.2	75.6	26.7	69.8	102.2	13.8	13.2	9.8	49.6
DLG5-AS1	53.7	25.2	46.2	29.6	89.7	69.4	15.7	62.1	12.8	34.5	64.9
BC012155	89.2	41.6	107.8	98.1	11.5	179.4	7.4	18.7	45	7.5	76.1
LINC01121	128.6	7.3	19.8	12	21.7	30.8	89.7	6.8	7	14.2	57.2
RAD51L3-RFFL	7.3	15.6	110.7	140.1	118.2	109.3	45.7	110.6	61.2	128.2	33.8
LOC101927043	132.5	139	17.7	165.7	18.3	18.2	193.9	9.2	10.5	11	11.1
LOC440028	9.7	3.7	51.8	18.7	141.9	40.9	105.2	4.3	3.6	4.5	12.6
AL049966	114.4	19	24.4	21.5	30.8	82.9	12.4	25.1	13.6	35.6	18.4
BC037932	135.7	157.9	166.3	184.3	600.9	686.8	158.9	465.5	62.4	54.2	126.6
BC040327	10.7	62.5	6.1	4.5	339.9	99	16.9	27.4	10	18.1	5.4
AW204766	18.4	1	1.7	112.3	2.7	26.7	3	4.3	2.7	21.3	77.7
BC020933	115.8	36.7	133.5	96.9	219.5	163.1	186.1	79.1	37.6	57.5	194.8
BC037939	9	2.6	2.7	18.1	6.7	4.1	3.3	45.7	7.4	2.3	16.2
BC036682	131.4	1.9	7.6	22.3	34.4	23.4	65.2	14.2	7.4	1.8	1.5
LOC340074	24.3	43.5	119.8	124.9	79.3	19.9	80	133.7	20	66.8	32.3
NME9	71.9	21.9	66.8	61.3	43.6	4	45.6	75.1	74	40.2	39
LOC101927040	24.2	2.2	63.2	51.9	50.8	47.5	43	15.1	40.3	11.9	14.3
LOC146513	23.5	33.6	10.1	13.5	13.3	44.1	52.5	6.1	6.8	4.4	6.5
BC011360	4.9	7.9	11.5	6	9.3	9.6	6.8	5.2	4.4	7.5	6.7
FRYL	4.3	55.2	27.4	154.6	33.4	29.3	33.8	42.3	37.8	23.5	10.7
LOC100130078	16.5	7.5	175	15.8	117.6	214.2	26.2	28.2	111	45.2	168
KRT40	8.7	13.5	0.4	1.9	26.9	26.3	9.3	1.4	11.3	15.2	6.6
KRT40	4	13.9	10.5	9	27.5	12.5	4.8	4.9	46	26.8	5.3
LOC101928651	6.1	21.8	10.2	14.9	10.8	19.7	5	17.2	7.7	11	11.9
TEX26-AS1	68	17.4	67.8	22.2	6.3	60.1	73.8	56.5	4.8	9.1	21.3
LOC285191	93.4	99.3	44.1	90.6	22.6	49.8	76.7	38.3	68.8	79.3	33.6
RMST	5.6	69.6	18.9	3.7	36.3	20.6	50.1	8.4	18.5	35.3	181.2
LOC101927869	74.3	29.9	45	43.1	71.1	49.5	95.5	7	43.1	54.2	1.7
SAMD12	22.1	22.1	13.5	35	1.9	1.8	1.7	38	5.3	20.1	38.6
LOC339874	63.7	69.1	1.8	52.9	7.3	47	77.6	5.3	61.4	20.4	30.8
KIF6	66.7	47.8	22.9	30.8	11.2	68.4	81.7	84.7	6.8	3.2	17.3
HOXA-AS2	42	17.7	8.5	3.1	37.8	6.8	43.9	54.4	4.7	14.6	57.4
FAM122C	47.4	18.4	43.8	87.9	19.9	47.9	88.3	94.4	90	51.6	99.9
BC043428	72.5	3.9	2.6	29.4	31.5	16.9	62	23.7	6.1	42.8	40.4
LOC101929279	89.3	7.8	41.6	30.9	57.9	73	61.5	17.7	42.7	8.9	26.1
MTHFD2L	57.7	5	33.6	16.6	37.7	44.5	54.1	66.6	36.2	37.4	75.2
LOC401176	24.5	4.6	10.6	22.2	22.7	6.2	247.2	43.3	13.9	2.3	5.7
CCDC88A	37.2	30.3	53.4	24.4	13.7	15.2	130.2	109	18.7	68.5	33.5
FRYL	9	10.2	20	42.9	47	74.3	167.3	52	23.1	9.1	178.3
ZSCAN1	146.6	18.4	92.5	44.2	6	11.3	79.3	3.3	5.1	17.7	56.5
LOC101929413	6	2.4	28	30.4	21	28.2	2.7	16.2	3	2.8	11.1
LOC101927447	2.9	47.7	5.3	6.8	43	3.2	18.4	6.1	53.3	3.3	11.2
BC043591	25.8	2.4	17.9	4.3	23.5	25.2	4.5	37.5	1.1	15	27.6
C10orf90	11.5	97.4	140.5	107.8	199.6	174.1	135.1	63.7	84.7	61.2	44.1
LOC400548	8	7	22.2	5.9	61.1	12.8	10.3	5.8	7.2	14.7	11.1
1562661_at	4.3	5.9	16.4	23.5	71	19.9	44.4	10.4	4.9	6.9	8.3
AK097428	89.2	123.2	174.2	210.9	218.8	169.5	123.2	122.1	90.1	19.4	160.9
AW207564	14.8	55.6	12.7	13.7	8.2	65.2	12.4	8.4	10.2	47	31.3
AK025193	2	28.2	2.4	31.8	7.8	11.1	18.7	11.4	8.8	6.6	40.1
LOC105370629	83.7	41.1	14.2	22	3.8	105.7	164.4	49.5	37.1	8.5	13
LOC105370629	48.7	24.3	17.9	32.7	17.8	55.9	314.8	58.3	38.2	7.3	16.8
BC043161	88.5	4.1	56.4	49.5	324.3	91.4	71.4	251.8	26.8	51.3	218.2
BC034299	101.7	115.9	207.7	48.6	139.8	114.4	57.9	123	59.1	100.2	86.1
FAAP20	52.6	126	289.4	148.8	148.3	136	223.9	149.1	199.4	224.6	113.4
1562677_at	1.3	30.3	28.2	2.6	30.1	13.5	1.5	29.8	35.9	2.2	1
BC037883	11.6	11.2	35.1	10.1	46	67.2	7.6	72	29.3	15.8	50.6
KRTAP5-AS1	119	253.7	132.4	213.4	206.9	231.1	242.5	475.6	73.4	58.5	62.7
RORA-AS1	6.4	5.6	21.9	23.2	5.7	66	93.9	51.9	33	64.7	65.7
LINC01097	27	27	20.7	7.2	8.5	66.6	28.9	57.3	19.5	28.1	52.2
AL049377	4.5	1.9	5.4	22.7	2.3	4.6	390.7	89.2	5.6	2.9	104.1
AK000165	34	14.1	47.1	11.7	6	6.8	4.4	1.5	32.5	41.1	2.1
AK000165	93.8	13.5	24.6	56.6	27.1	60.5	7.7	6	35.6	39.1	4.9
BC041871	20.2	7.5	58	69.3	8.3	4.1	4.8	17.5	49.9	9.6	64.8
LOC151484	82.1	38.6	143.4	16.8	80.3	120.5	54.2	11	100.4	51.1	75.5
LOC101929319	24.9	34.8	10.2	5.7	8	5.1	50.1	9.3	17	5.4	24.4
FGF10-AS1	7.1	14.8	21	9.6	9.1	17.4	22	11.3	24.1	2	2.8
LOC105372520	5.1	1.8	71.4	45.8	5.7	3.8	85.2	3.1	17.7	44.3	69.9
IGF2BP2-AS1	51.6	6.8	56.8	4.2	71.8	64.5	87.8	8.3	7.9	2.8	18.2
FOXN4	19.2	18.4	28.3	42.6	85.8	26.4	16.4	103.5	58.4	12.4	28
FAM155A-IT1	58.7	1.8	2.3	34	4.7	4.5	102.3	9	4.4	6.2	12.2
LOC339988	282.3	31.3	379.8	207.4	342.6	465.3	16.5	195.8	190.6	277	203.2
LOC339988	249	21	304	97.3	324.1	248.6	14.8	140.7	156.5	230	33.5
LOC101928847	45.5	50.6	82.6	9.6	6	30.2	21.2	5.4	41	28.2	6.6
CTD-2297D10.2	80.1	45.6	18.1	4.3	16.4	6.8	12.3	16.5	24.8	2.9	54.4
LINC00964	6.6	29	19.1	13.5	19.8	11.7	3.7	14.9	10.3	6.4	4.9
LOC101928553	2.6	3.6	5	1.8	15.1	2.8	4.5	1.4	17.5	1.7	2.3
LOC101927933	55.5	56.9	27.4	46.5	11.8	93.8	54.9	93.1	62.1	40	8.4
NETO1	6.2	71.8	80	9.8	17.4	66.2	10.7	332.6	60.7	30.4	20.7
AF052127	7.9	6	6.9	1.9	6.7	80.4	51.8	18.5	26.9	26.2	8.6
LOC284632	56.1	47.6	79.5	37.2	56.6	86.6	5.8	60	30.9	9.1	28.9
LINC00299	64.1	63.4	7.3	10.2	11.7	26.1	48.7	12.7	23.9	8.2	10.1
LOC102724449	43	34.4	42.2	87.1	15.6	83.7	56.8	40.6	8	1.8	44.7
LOC101928476	70.5	98.4	147.7	101.8	183.2	104.6	90.7	77.2	55.8	118.8	79.9
LOC101927286	40.6	34.8	7.1	7.4	29.5	10.3	9.3	35.1	53.8	37.4	43.6
PRR20E	44.3	37.3	38.8	37.5	29.4	100.5	47.9	38.5	3.9	39.2	22.2
BC033493	4.6	110.8	80	116.2	74.4	37.5	82.6	57.8	65.7	116	109.7
LOC286114	54.2	8.5	8.4	4	31.2	50.1	72.3	21.4	4.7	8.7	10.7
BC020909	32.3	22.5	5.5	2.3	21	2.3	12.7	2.7	27.8	2	8.3
LINC01533	32.4	32.8	15.7	39.1	7.8	12.1	117.5	11	51.8	5.5	17.6
BC014215	48.8	75.1	102.2	29.3	19.6	34	38.7	58.6	66.1	30.8	128.8
BC014215	8.5	6.1	6.6	110.8	31.5	28.8	16.5	13.1	18.3	14.4	70.5
MDS2	108.3	85.9	57.2	61.9	109.5	143	136	84.1	76.6	73.1	71.1
TMEM232	11.7	3.5	5.2	66.9	46	82.5	31.7	7.2	9.6	52.1	9.6
LINC00092	210.8	136.6	151.2	203	72.9	112.6	125.8	149.8	222.7	231	279.7
LHX9	77.3	32.4	26.6	18.7	8	40.7	24.4	19.2	16	60.1	21.4
BC041448	4.5	3.2	1.1	20.5	1	1.7	1.4	4.7	3.1	0.7	0.5
USP3-AS1	295.4	172.9	109.9	253.8	147.5	92	670.7	191.8	150.8	254	117.1
LOC285593	47.8	81.6	9.9	12.2	14.3	48.8	56.7	4.1	22.9	7.9	37.3
DNAJB8-AS1	15.6	9	37.4	7.8	7.5	17.2	42.9	9.2	8.3	7.2	8.3
UBXN4	57.6	63.8	72	48.4	82.6	97.2	77.6	57.1	68.3	64	37.7
LINC01362	46.7	46.6	53.9	72.1	45	55	145.6	35.2	39.8	35.4	53.6
ZNF33B	204.5	327.1	47.5	4.7	70.3	698.6	177.5	355.3	206.4	36	195.2
W96062	16	116.1	60.4	460.5	110.1	9.6	5.5	17.7	54.2	128.9	159.4
LOC101928101	1.4	4.7	2.6	8.2	24.1	8.4	3	38.1	14.8	2.8	7.9
LINGO1-AS1	118.8	34.8	29.6	37.1	8.3	21.1	39.1	50.4	25.8	27.1	36.8
LOC644090	75.8	15.2	10.2	43.3	11.9	16.9	17	11.1	9.3	57.9	100.7
BC035211	1.7	13.9	11.4	8	1.7	14.4	73.4	1.5	3.7	2.6	16
BC042499	23.1	34.6	56.4	65.7	27.7	154.7	77.1	60.4	60.2	50.5	6.5
BC040984	3.5	5.2	46.3	6.2	5.8	42.6	10	4.6	11.4	18.5	12.6
ST6GALNAC5	16.1	49	31.4	126.6	14.3	74.2	77.8	121.5	114.1	90.3	49.8
LOC339260	142.5	5.1	61.3	36.4	36.3	168	39.4	3.1	14.5	4.1	52.4
BC043419	25	22.1	55.1	3.1	28.2	59.4	6.7	2.4	16.5	46.6	27.8
LOC101927044	5.7	65.7	26.6	47.4	45	61.1	3.5	69.2	77.8	22.9	10.3
LOC101929288	8	8.6	5.5	8.2	10	4.6	9.3	6.2	10.2	11.6	6.3
NMRK1	78.5	6.2	114.4	67.7	78.9	104.7	11.2	14.5	31.1	38.2	96.4
C3orf56	12.8	25.5	19.3	50.1	63	79.5	12	12.2	9.5	15.9	7
LOC100507351	70.1	19.7	81.7	7.2	12.4	5.4	12	4.9	18.5	25	64.1
WWTR1-AS1	30.5	5.2	15.8	10.6	8.1	7.7	8.6	7.5	9.7	5.3	5.9
BC043197	3.3	39.4	9.8	3.4	4.7	2.5	4.5	1.6	5	16.2	4.9
SPATA13	147.9	133.3	142	124.1	89.6	221.4	140.3	94.7	80.5	122.3	144.1
LOC101928277	56.5	46.4	57.1	77.1	38.2	163.6	34.4	10.9	36.9	9.5	29.4
DAND5	49.9	47.2	79.1	45.2	69.7	111.6	30.3	7.2	27.6	53	55.5
NUDT12	8.5	26.8	1.6	13.8	118.8	146	245.6	78.6	32.7	72.2	61.9
LOC339807	73.4	16.5	10.6	22	12.9	42.3	75.6	64.3	50.7	7.6	18.4
ERV3-1	55.8	131.1	57.6	50.9	82.4	10	79.9	110.7	21.4	32	57.1
FAM166A	89.3	15.9	62.2	122.9	22.5	86.9	13.6	21.5	83.9	14.3	28.3
BC041415	5.9	3.3	3.4	5.8	4.4	38.4	2.4	2.8	10	3.1	1.9
LOC100128840	165.9	103.5	98	23.9	24.5	87.2	67.7	90.4	20.2	34.6	78.2
BC027846	379.9	44.6	165.6	417.5	132.5	515.9	9.2	207	227	624.3	400.1
LOC101928886	55	2.3	44.9	22.8	13.5	3.9	2.8	3.1	3.9	14.1	29.1
AL713638	16.6	3.4	9.9	6.3	40.6	6.5	6.1	13.1	53.6	9	41.7
LINC01342	25.1	11.7	21.5	13.1	19.1	12.3	19	5.4	14.4	14.2	7.2
ZNF229	28.5	55.3	27.6	83.6	53.8	3.8	38.6	67.8	17.4	46.6	4.2
NCALD	8.6	28.6	28	62.5	23.1	52.4	2.5	12.7	6.5	8.1	7.2
MYCBPAP	12.8	2.6	4.2	6.5	65.7	5	7.4	24.2	5.5	1.8	16.3
LOC101927157	137.3	104.4	173.6	176.5	253.5	224.6	281.8	117.8	91.2	69.8	151
